site_name,gps_latitude,gps_longitude,collection_day,collection_month,collection_year,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,crop_rotation_primary_y5,crop_rotation_companion_y5,wheat_cultivar,take_all_seen,take_all_evidence,take_all_time,fertiliser_use,fertiliser_use_nitrogen,fertiliser_use_phosphous,fertiliser_use_potassium,fertiliser_use_micronutrients,fertiliser_use_other,fertiliser_application_rate_monthly,fertiliser_application_rate_every_six_months,fertiliser_application_rate_yearly,fertiliser_application_rate_every_two_years,fertiliser_application_rate_every_other,manure_use,manure_application_rate_monthly,manure_application_rate_every_six_months,manure_application_rate_yearly,manure_application_rate_every_two_years,manure_application_rate_other,pesticides__insecticides_use,fungicides_use,herbicides_use,tillage,tillage_method,soil_texture,soil_ph,available_p,available_k,available_mg,available_ca,available_na,extractable_cu,extractable_zn,extractable_fe,extractable_so4,extractable_mo,extractable_mn,extractable_cu,extractable_co
5DA.1,53.03952,-0.69002,5,8,2024,group_1,,oats,vetch,2nd_wheat,,group_3 ,,OSR,,,,Crusoe; skyscraper; firefly,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
5BY.1,53.02619,-0.6952,5,8,2024,group_2,,oats,vetch,wheat_group2,,maize,,forage_rye,,,,Extase; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
232,53.024763,-0.690409,5,8,2024,group_1,,oats,vetch,2nd_wheat,,group_3 ,,OSR,,,,Crusoe; skyscraper; firefly,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
231,53.034143,-0.6864,5,8,2024,group_1,,oats,vetch,group_2,,maize,,OSR,,,,Crusoe; Extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
5LY.1,53.21982,-0.14094,6,8,2024,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
5LY.2,53.21567,-0.14249,6,8,2024,group_1,,combining_peas,,group_2,,maize_forage,,malting_barley,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
5RJ.1,53.217778,-0.16375,6,8,2024,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
5RJ.2,53.218306,-0.16975,6,8,2024,feed_wheat,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Champion; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
226,53.21363,-0.152588,6,8,2024,group_1,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
217,53.216194,-0.159944,6,8,2024,feed_wheat,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Crusoe; Extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
2AY.1,53.17379,-0.37644,7,8,2024,group_1,,oats,vetch,2nd_wheat,,group_1,,OSR,,,,Crusoe; skyscraper; crusoe,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
2AY.2,53.17083,-0.3737,7,8,2024,group_1,,oats,vetch,2nd_wheat,,group_1,,OSR,,,,Crusoe; skyscraper; crusoe,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
223,53.17227,-0.411014,7,8,2024,group_1,,oats,vetch,2nd_wheat,,group_1,,OSR,,,,Crusoe; gravity; crusoe,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
216,53.18858,-0.332918,7,8,2024,group_1,,oats,vetch,2nd_wheat,,vining_peas,,OSR,,,,Crusoe; skyscraper; ,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
8HQ.1,53.10016,0.04772,8,8,2024,group_2,,pre_pack,,group_2,,maize,,spring_wheat,,,,Extase; astronomer,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
8HQ.2,53.11209,0.05528,8,8,2024,group_2,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Extase; Astronomer,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
225,53.10852,0.05014,8,8,2024,group_2,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Extase; Cranium,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
222,53.10782,0.05267,8,8,2024,group_2,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Extase; Cranium,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,,,,,,,,,,,,,,,
5NQ.1,52.865968,-2.79264,27,6,2024,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,No,Yes,No,No,Yes,,,,Yes,,,,Yes,,,Yes,Yes,No,,,,,,,,,,,,,,,,
247,52.865968,-2.79264,27,6,2024,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,No,Yes,No,No,Yes,,,,Yes,,,,Yes,,,Yes,Yes,No,,,,,,,,,,,,,,,,
246,52.865968,-2.79264,27,6,2024,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,No,Yes,No,No,Yes,,,,Yes,,,,Yes,,,Yes,Yes,No,,,,,,,,,,,,,,,,
5RW.1,52.90557,0.561505,2,7,2024,OSR,,spring_barley,,sugar_beet,,winter_wheat,,potato,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,Yes,Yes,No,Yes,No,,,,No,,,,,,,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
5RW.2,52.900938,0.57231,2,7,2024,OSR,,winter_barley,,winter_wheat,,sugar_beet,,winter_barley,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,Yes,Yes,No,Yes,No,,,,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
