plant_number,bac_level,feed,sowing_number,dry_weight
pl1,0,yes,1,0.736
pl2,20,yes,1,0.758
pl3,100,no,1,0.665
pl4,10,yes,1,0.831
pl5,250,no,1,0.814
pl6,50,no,1,0.815
pl7,100,yes,1,0.696
pl8,20,no,1,0.709
pl9,0,no,1,0.757
pl10,250,yes,1,0.885
pl11,50,yes,1,0.826
pl12,10,no,1,0.785
pl13,100,yes,1,0.662
pl14,10,no,1,0.768
pl15,0,yes,1,0.828
pl16,50,yes,1,0.806
pl17,20,no,1,0.82
pl18,250,yes,1,0.838
pl19,250,no,1,0.637
pl20,0,no,1,0.703
pl21,10,yes,1,0.72
pl22,20,yes,1,0.746
pl23,50,no,1,0.685
pl24,100,no,1,0.82
pl25,100,yes,2,0.3
pl26,10,yes,2,0.346
pl27,20,no,2,0.27
pl28,0,yes,2,0.318
pl29,50,yes,2,0.42
pl30,250,no,2,0.398
pl31,0,yes,2,0.381
pl32,50,no,2,0.376
pl33,250,yes,2,0.35
pl34,10,no,2,0.378
pl35,100,yes,2,0.341
pl36,20,yes,2,0.394
pl37,100,no,2,0.305
pl38,250,yes,2,0.484
pl39,20,no,2,0.456
pl40,10,yes,2,0.337
pl41,50,no,2,0.415
pl42,0,no,2,0.39
pl43,250,no,2,0.336
pl44,100,no,2,0.306
pl45,10,no,2,0.321
pl46,50,yes,2,0.449
pl47,0,no,2,0.402
pl48,20,yes,2,0.437
pl49,50,no,1,0.771
pl50,0,yes,1,0.661
pl51,20,no,1,0.728
pl52,10,yes,1,0.761
pl53,250,yes,1,0.741
pl54,100,yes,1,0.657
pl55,100,no,1,0.792
pl56,50,yes,1,0.799
pl57,10,yes,1,0.874
pl58,0,no,1,0.783
pl59,250,yes,1,0.806
pl60,20,no,1,0.79
pl61,50,yes,1,0.799
pl62,250,no,1,0.784
pl63,100,no,1,0.833
pl64,0,no,1,0.714
pl65,20,yes,1,0.898
pl66,10,no,1,0.799
pl67,20,yes,1,0.758
pl68,0,yes,1,0.733
pl69,10,no,1,0.761
pl70,50,no,1,0.823
pl71,100,yes,1,0.782
pl72,250,no,1,0.774
pl73,0,yes,2,0.334
pl74,10,yes,2,0.435
pl75,250,no,2,0.411
pl76,50,no,2,0.253
pl77,20,yes,2,0.471
pl78,100,no,2,0.274
pl79,100,yes,2,0.441
pl80,50,yes,2,0.427
pl81,20,no,2,0.4
pl82,250,yes,2,0.368
pl83,10,no,2,0.427
pl84,0,yes,2,0.402
pl85,250,no,2,0.375
pl86,20,yes,2,0.392
pl87,50,no,2,0.353
pl88,100,no,2,0.402
pl89,0,no,2,0.364
pl90,10,yes,2,0.367
pl91,100,yes,2,0.299
pl92,250,yes,2,0.414
pl93,50,yes,2,0.397
pl94,10,no,2,0.302
pl95,20,no,2,0.358
pl96,0,no,2,0.413
pl97,20,no,1,0.742
pl98,100,no,1,0.713
pl99,10,yes,1,0.785
pl100,50,no,1,0.896
pl101,0,no,1,0.765
pl102,250,yes,1,0.905
pl103,10,no,1,0.792
pl104,250,no,1,0.741
pl105,50,yes,1,0.744
pl106,0,no,1,0.851
pl107,20,yes,1,0.785
pl108,100,no,1,0.872
pl109,20,no,1,0.701
pl110,100,yes,1,0.794
pl111,0,yes,1,0.849
pl112,50,yes,1,0.791
pl113,250,no,1,0.839
pl114,10,yes,1,0.752
pl115,250,yes,1,0.766
pl116,0,yes,1,0.729
pl117,10,no,1,0.776
pl118,100,yes,1,0.831
pl119,20,yes,1,0.917
pl120,50,no,1,0.752
pl121,50,no,2,0.288
pl122,0,yes,2,0.364
pl123,20,no,2,0.286
pl124,100,yes,2,0.353
pl125,10,yes,2,0.462
pl126,250,yes,2,0.288
