Experiment,Plant,Medium,Bacteria_applications,Feed,Dry_weight,Germination_rate
exp2,pl1,Gravel ,Limited,Yes,0.2106,3
exp2,pl2,Sand,Never,No,0.0605,2
exp2,pl3,Compost,Never,Yes,0.1152,4
exp2,pl4,Vermiculite ,Always,No,0.0341,4
exp2,pl5,Perlite,Always,Yes,0.0335,1
exp2,pl6,Perlite,Always,No,0.0098,3
exp2,pl7,Gravel ,Never,Yes,0.3297,4
exp2,pl8,Vermiculite ,Limited,No,0.0265,4
exp2,pl9,Sand,Limited,Yes,0.0719,2
exp2,pl10,Compost,Limited,No,0.2731,3
exp2,pl11,Sand,Always,Yes,0.075,4
exp2,pl12,Perlite,Limited,No,0.0065,2
exp2,pl13,Vermiculite ,Limited,Yes,0.0663,4
exp2,pl14,Gravel ,Limited,No,0.0429,4
exp2,pl15,Compost,Limited,Yes,0.2604,3
exp2,pl16,Vermiculite ,Never,No,0.0209,3
exp2,pl17,Gravel ,Always,Yes,0.2723,3
exp2,pl18,Compost,Never,No,0.3405,3
exp2,pl19,Sand,Always,No,0.0363,4
exp2,pl20,Perlite,Limited,Yes,0.0253,3
exp2,pl21,Perlite,Never,No,0.0144,3
exp2,pl22,Vermiculite ,Always,Yes,0.1058,3
exp2,pl23,Compost,Always,Yes,0.1566,3
exp2,pl24,Sand,Limited,No,0.023,2
exp2,pl25,Gravel ,Never,No,0.0683,3
exp2,pl26,Sand,Never,Yes,0.0827,4
exp2,pl27,Gravel ,Always,No,0.0683,2
exp2,pl28,Vermiculite ,Never,Yes,0.087,4
exp2,pl29,Perlite,Never,Yes,0.0263,1
exp2,pl30,Compost,Always,No,0.3787,4
exp2,pl31,Perlite,Limited,Yes,0.0279,1
exp2,pl32,Vermiculite ,Never,No,0.0278,3
exp2,pl33,Sand,Always,Yes,0.0772,4
exp2,pl34,Compost,Never,No,0.3238,4
exp2,pl35,Gravel ,Never,Yes,0.4015,3
exp2,pl36,Gravel ,Limited,Yes,0.3666,1
exp2,pl37,Compost,Always,No,0.4604,3
exp2,pl38,Vermiculite ,Always,Yes,0.083,4
exp2,pl39,Perlite,Always,Yes,0.021,1
exp2,pl40,Sand,Always,No,0.0319,4
exp2,pl41,Gravel ,Always,Yes,,0
exp2,pl42,Sand,Limited,No,0.0206,3
exp2,pl43,Perlite,Always,No,0.0122,1
exp2,pl44,Vermiculite ,Limited,No,0.0304,4
exp2,pl45,Compost,Always,Yes,0.1248,4
exp2,pl46,Sand,Limited,Yes,0.105,4
exp2,pl47,Vermiculite ,Limited,Yes,0.0658,4
exp2,pl48,Compost,Limited,No,0.3752,4
exp2,pl49,Perlite,Limited,No,0.0142,1
exp2,pl50,Gravel ,Never,No,0.0407,2
exp2,pl51,Perlite,Never,No,0.007,3
exp2,pl52,Sand,Never,No,0.0297,4
exp2,pl53,Vermiculite ,Never,Yes,0.1004,4
exp2,pl54,Gravel ,Limited,No,0.0773,4
exp2,pl55,Compost,Never,Yes,0.3411,4
exp2,pl56,Sand,Never,Yes,0.0662,3
exp2,pl57,Compost,Limited,Yes,0.2059,4
exp2,pl58,Perlite,Never,Yes,,0
exp2,pl59,Gravel ,Always,No,0.0311,3
exp2,pl60,Vermiculite ,Always,No,0.0311,3
exp2,pl61,Vermiculite ,Always,Yes,0.0675,1
exp2,pl62,Compost,Always,Yes,0.1982,4
exp2,pl63,Gravel ,Never,No,0.0282,1
exp2,pl64,Perlite,Never,No,0.0079,3
exp2,pl65,Sand,Limited,No,0.0254,3
exp2,pl66,Sand,Never,No,0.0231,4
exp2,pl67,Compost,Never,Yes,0.3378,3
exp2,pl68,Perlite,Always,Yes,0.0311,1
exp2,pl69,Gravel ,Limited,Yes,0.3219,3
exp2,pl70,Vermiculite ,Always,No,0.0359,4
exp2,pl71,Perlite,Limited,No,0.013,1
exp2,pl72,Vermiculite ,Limited,Yes,0.0419,3
exp2,pl73,Compost,Limited,Yes,0.2264,4
exp2,pl74,Sand,Always,Yes,0.0896,4
exp2,pl75,Gravel ,Limited,No,0.0342,3
exp2,pl76,Gravel ,Always,Yes,0.3478,4
exp2,pl77,Compost,Never,No,0.2618,4
exp2,pl78,Perlite,Limited,Yes,,1
exp2,pl79,Vermiculite ,Never,No,0.0302,2
exp2,pl80,Sand,Always,No,0.0373,4
exp2,pl81,Gravel ,Always,No,0.0316,2
exp2,pl82,Vermiculite ,Never,Yes,0.1832,3
exp2,pl83,Compost,Always,No,0.3986,3
exp2,pl84,Sand,Never,Yes,0.0851,4
exp2,pl85,Perlite,Never,Yes,0.025,1
exp2,pl86,Gravel ,Never,Yes,0.3944,2
exp2,pl87,Vermiculite ,Limited,No,0.0266,2
exp2,pl88,Compost,Limited,No,0.3928,4
exp2,pl89,Perlite,Always,No,,0
exp2,pl90,Sand,Limited,Yes,0.067,4
exp2,pl91,Vermiculite ,Limited,Yes,0.1055,2
exp2,pl92,Compost,Limited,No,0.4506,4
exp2,pl93,Gravel ,Never,No,0.0122,1
exp2,pl94,Sand,Limited,Yes,0.0952,3
exp2,pl95,Perlite,Limited,No,0.0097,2
exp2,pl96,Compost,Always,No,0.4156,3
exp2,pl97,Vermiculite ,Always,Yes,0.0809,2
exp2,pl98,Sand,Always,No,0.034,3
exp2,pl99,Gravel ,Limited,Yes,0.3744,1
exp2,pl100,Perlite,Always,Yes,,0
exp2,pl101,Sand,Limited,No,0.0299,4
exp2,pl102,Perlite,Always,No,0.0136,2
exp2,pl103,Compost,Always,Yes,0.2139,4
exp2,pl104,Gravel ,Always,Yes,,0
exp2,pl105,Vermiculite ,Limited,No,0.0253,2
exp2,pl106,Compost,Limited,Yes,0.2599,4
exp2,pl107,Perlite,Never,Yes,0.0326,1
exp2,pl108,Vermiculite ,Always,No,0.0499,4
exp2,pl109,Sand,Never,Yes,0.0971,2
exp2,pl110,Gravel ,Always,No,0.0467,4
exp2,pl111,Sand,Never,No,0.0375,2
exp2,pl112,Vermiculite ,Never,Yes,0.1052,4
exp2,pl113,Compost,Never,Yes,0.1475,4
exp2,pl114,Perlite,Never,No,0.0104,2
exp2,pl115,Gravel ,Limited,No,0.0369,2
exp2,pl116,Vermiculite ,Never,No,0.0282,3
exp2,pl117,Sand,Always,Yes,0.0541,3
exp2,pl118,Gravel ,Never,Yes,0.3553,4
exp2,pl119,Perlite,Limited,Yes,,0
exp2,pl120,Compost,Never,No,0.3235,3
